"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"This test verifies that a user cannot add a product to their cart with an empty field after logging in.","10064","Verify that a user cannot add a product with an empty field to the cart after logging in.","SauceDemo Tests Suite","Tue Oct 22 20:26:48 EEST 2024","broken","Tue Oct 22 20:26:58 EEST 2024","com.MyTestingCo.tests.cart.AddProductWithEmptyFieldToCartTest","Add to Cart Functionality Tests","com.MyTestingCo.tests.cart.AddProductWithEmptyFieldToCartTest","testAddProductWithEmptyFieldToCart"
"This test verifies that the user can filter products by category successfully.","3147","Verify that the user can filter products by category","SauceDemo Tests Suite","Tue Oct 22 20:22:50 EEST 2024","passed","Tue Oct 22 20:22:53 EEST 2024","com.MyTestingCo.tests.filter.FilterByCategoryTest","Product Filtering Functionality Tests","com.MyTestingCo.tests.filter.FilterByCategoryTest","testFilterByCategory"
"This test verifies that a user can successfully log in with valid username and password.","3383","Verify that a user can log in with valid credentials","SauceDemo Tests Suite","Tue Oct 22 20:22:27 EEST 2024","passed","Tue Oct 22 20:22:30 EEST 2024","com.MyTestingCo.tests.login.ValidLoginTest","Login Functionality Tests","com.MyTestingCo.tests.login.ValidLoginTest","testValidLogin"
"This test verifies that an appropriate error message is displayed when a user attempts to log in with invalid credentials.","3007","Verify that an error message is displayed with invalid credentials","SauceDemo Tests Suite","Tue Oct 22 20:22:32 EEST 2024","passed","Tue Oct 22 20:22:35 EEST 2024","com.MyTestingCo.tests.login.InvalidLoginTest","Login Functionality Tests","com.MyTestingCo.tests.login.InvalidLoginTest","testInvalidLogin"
"This test verifies that the user can sort products by price successfully.","16318","Verify that the user can sort products by price","SauceDemo Tests Suite","Tue Oct 22 20:23:54 EEST 2024","passed","Tue Oct 22 20:24:11 EEST 2024","com.MyTestingCo.tests.sorting.SortByPriceTest","Product Sorting Functionality Tests","com.MyTestingCo.tests.sorting.SortByPriceTest","testSortByPrice"
"This test verifies that a user can add a valid product to their cart successfully after logging in.","10042","Verify that a user can add a valid product to the cart after logging in.","SauceDemo Tests Suite","Tue Oct 22 20:26:00 EEST 2024","broken","Tue Oct 22 20:26:10 EEST 2024","com.MyTestingCo.tests.cart.AddValidProductToCartTest","Add to Cart Functionality Tests","com.MyTestingCo.tests.cart.AddValidProductToCartTest","testAddValidProductToCart"
"This test verifies that the user can sort products by multiple prices successfully.","20026","Verify that the user can sort products by multiple prices","SauceDemo Tests Suite","Tue Oct 22 20:25:03 EEST 2024","broken","Tue Oct 22 20:25:23 EEST 2024","com.MyTestingCo.tests.sorting.SortByMultiplePricesTest","Product Sorting Functionality Tests","com.MyTestingCo.tests.sorting.SortByMultiplePricesTest","testSortByMultiplePrices"
"This test verifies that a user can add a product with special characters to their cart successfully after logging in.","10045","Verify that a user can add a product with special characters to the cart after logging in.","SauceDemo Tests Suite","Tue Oct 22 20:26:37 EEST 2024","broken","Tue Oct 22 20:26:47 EEST 2024","com.MyTestingCo.tests.cart.AddProductWithSpecialCharsToCartTest","Add to Cart Functionality Tests","com.MyTestingCo.tests.cart.AddProductWithSpecialCharsToCartTest","testAddProductWithSpecialCharsToCart"
"This test verifies that the user cannot filter products by category with an empty field.","12052","Verify that the user cannot filter products by category with an empty field","SauceDemo Tests Suite","Tue Oct 22 20:23:37 EEST 2024","broken","Tue Oct 22 20:23:50 EEST 2024","com.MyTestingCo.tests.filter.FilterByCategoryWithEmptyFieldTest","Product Filtering Functionality Tests","com.MyTestingCo.tests.filter.FilterByCategoryWithEmptyFieldTest","testFilterByCategoryWithEmptyField"
"Verify that the user can login successfully with special characters in credentials.","3042","Login with Special Characters Test","SauceDemo Tests Suite","Tue Oct 22 20:22:45 EEST 2024","passed","Tue Oct 22 20:22:48 EEST 2024","com.MyTestingCo.tests.login.LoginWithSpecialCharactersTest","Login Functionality Tests","com.MyTestingCo.tests.login.LoginWithSpecialCharactersTest","loginWithSpecialCharactersTest"
"This test verifies that a user cannot add an invalid product to their cart.","11240","Verify that a user cannot add an invalid product to the cart.","SauceDemo Tests Suite","Tue Oct 22 20:26:12 EEST 2024","broken","Tue Oct 22 20:26:23 EEST 2024","com.MyTestingCo.tests.cart.AddInvalidProductToCartTest","Add to Cart Functionality Tests","com.MyTestingCo.tests.cart.AddInvalidProductToCartTest","testAddInvalidProductToCart"
"This test verifies that a user can checkout with special characters successfully.","11443","Verify that a user can checkout with special characters.","SauceDemo Tests Suite","Tue Oct 22 20:27:41 EEST 2024","broken","Tue Oct 22 20:27:53 EEST 2024","com.MyTestingCo.tests.checkout.CheckoutWithSpecialCharsTest","Checkout Functionality Tests","com.MyTestingCo.tests.checkout.CheckoutWithSpecialCharsTest","testCheckoutWithSpecialChars"
"This test verifies that the user can filter products by category with special characters successfully.","11593","Verify that the user can filter products by category with special characters","SauceDemo Tests Suite","Tue Oct 22 20:23:24 EEST 2024","broken","Tue Oct 22 20:23:35 EEST 2024","com.MyTestingCo.tests.filter.FilterByCategoryWithSpecialCharactersTest","Product Filtering Functionality Tests","com.MyTestingCo.tests.filter.FilterByCategoryWithSpecialCharactersTest","testFilterByCategoryWithSpecialCharacters"
"Verify that the user cannot login with an empty password.","2996","Login with Empty Password Test","SauceDemo Tests Suite","Tue Oct 22 20:22:41 EEST 2024","passed","Tue Oct 22 20:22:44 EEST 2024","com.MyTestingCo.tests.login.LoginWithEmptyPasswordTest","Login Functionality Tests","com.MyTestingCo.tests.login.LoginWithEmptyPasswordTest","loginWithEmptyPasswordTest"
"This test verifies that the user cannot sort products by an invalid price.","39720","Verify that the user cannot sort products by an invalid price","SauceDemo Tests Suite","Tue Oct 22 20:24:22 EEST 2024","broken","Tue Oct 22 20:25:02 EEST 2024","com.MyTestingCo.tests.sorting.SortByInvalidPriceTest","Product Sorting Functionality Tests","com.MyTestingCo.tests.sorting.SortByInvalidPriceTest","testSortByInvalidPrice"
"This test verifies that the user cannot sort products by price with an empty field.","11428","Verify that the user cannot sort products by price with an empty field","SauceDemo Tests Suite","Tue Oct 22 20:25:47 EEST 2024","broken","Tue Oct 22 20:25:59 EEST 2024","com.MyTestingCo.tests.sorting.SortByPriceWithEmptyFieldTest","Product Sorting Functionality Tests","com.MyTestingCo.tests.sorting.SortByPriceWithEmptyFieldTest","testSortByPriceWithEmptyField"
"This test verifies that the user can filter products by multiple categories successfully.","2967","Verify that the user can filter products by multiple categories","SauceDemo Tests Suite","Tue Oct 22 20:23:19 EEST 2024","failed","Tue Oct 22 20:23:22 EEST 2024","com.MyTestingCo.tests.filter.FilterByMultipleCategoriesTest","Product Filtering Functionality Tests","com.MyTestingCo.tests.filter.FilterByMultipleCategoriesTest","testFilterByMultipleCategories"
"This test verifies that a user cannot checkout with invalid information.","11925","Verify that a user cannot checkout with invalid information.","SauceDemo Tests Suite","Tue Oct 22 20:27:14 EEST 2024","broken","Tue Oct 22 20:27:26 EEST 2024","com.MyTestingCo.tests.checkout.InvalidCheckoutTest","Checkout Functionality Tests","com.MyTestingCo.tests.checkout.InvalidCheckoutTest","testInvalidCheckout"
"This test verifies that a user can add multiple products to their cart successfully after logging in.","10044","Verify that a user can add multiple products to the cart after logging in.","SauceDemo Tests Suite","Tue Oct 22 20:26:24 EEST 2024","broken","Tue Oct 22 20:26:34 EEST 2024","com.MyTestingCo.tests.cart.AddMultipleProductsToCartTest","Add to Cart Functionality Tests","com.MyTestingCo.tests.cart.AddMultipleProductsToCartTest","testAddMultipleProductsToCart"
"This test verifies that the user cannot filter products by an invalid category.","23247","Verify that the user cannot filter products by an invalid category","SauceDemo Tests Suite","Tue Oct 22 20:22:54 EEST 2024","broken","Tue Oct 22 20:23:18 EEST 2024","com.MyTestingCo.tests.filter.FilterByInvalidCategoryTest","Product Filtering Functionality Tests","com.MyTestingCo.tests.filter.FilterByInvalidCategoryTest","testFilterByInvalidCategory"
"Verify that the user cannot login with an empty username.","2945","Login with Empty Username Test","SauceDemo Tests Suite","Tue Oct 22 20:22:36 EEST 2024","passed","Tue Oct 22 20:22:39 EEST 2024","com.MyTestingCo.tests.login.LoginWithEmptyUsernameTest","Login Functionality Tests","com.MyTestingCo.tests.login.LoginWithEmptyUsernameTest","loginWithEmptyUsernameTest"
"This test verifies that a user can checkout with multiple products successfully.","12723","Verify that a user can checkout with multiple products.","SauceDemo Tests Suite","Tue Oct 22 20:27:27 EEST 2024","broken","Tue Oct 22 20:27:40 EEST 2024","com.MyTestingCo.tests.checkout.CheckoutWithMultipleProductsTest","Checkout Functionality Tests","com.MyTestingCo.tests.checkout.CheckoutWithMultipleProductsTest","testCheckoutWithMultipleProducts"
"This test verifies that a user can checkout successfully with valid information.","13451","Verify that a user can checkout successfully.","SauceDemo Tests Suite","Tue Oct 22 20:27:00 EEST 2024","broken","Tue Oct 22 20:27:13 EEST 2024","com.MyTestingCo.tests.checkout.ValidCheckoutTest","Checkout Functionality Tests","com.MyTestingCo.tests.checkout.ValidCheckoutTest","testValidCheckout"
"This test verifies that the user can sort products by price with special characters successfully.","21571","Verify that the user can sort products by price with special characters","SauceDemo Tests Suite","Tue Oct 22 20:25:24 EEST 2024","broken","Tue Oct 22 20:25:46 EEST 2024","com.MyTestingCo.tests.sorting.SortByPriceWithSpecialCharactersTest","Product Sorting Functionality Tests","com.MyTestingCo.tests.sorting.SortByPriceWithSpecialCharactersTest","testSortByPriceWithSpecialCharacters"
"This test verifies that a user cannot checkout with an empty field.","14698","Verify that a user cannot checkout with an empty field.","SauceDemo Tests Suite","Tue Oct 22 20:27:56 EEST 2024","broken","Tue Oct 22 20:28:11 EEST 2024","com.MyTestingCo.tests.checkout.CheckoutWithEmptyFieldTest","Checkout Functionality Tests","com.MyTestingCo.tests.checkout.CheckoutWithEmptyFieldTest","testCheckoutWithEmptyField"
