timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1728074316991,668,login request,200,OK,Login thread 1-15,text,true,,3966,399,59,59,https://www.saucedemo.com/,254,0,146
1728074316991,254,login request-0,301,Moved Permanently,Login thread 1-15,text,true,,666,280,59,59,https://saucedemo.com/,254,0,146
1728074317245,414,login request-1,200,OK,Login thread 1-15,text,true,,3300,119,59,59,https://www.saucedemo.com/,414,0,173
1728074316794,866,login request,200,OK,Login thread 1-2,text,true,,3966,399,59,59,https://www.saucedemo.com/,350,0,238
1728074316794,350,login request-0,301,Moved Permanently,Login thread 1-2,text,true,,666,280,59,59,https://saucedemo.com/,350,0,238
1728074317144,516,login request-1,200,OK,Login thread 1-2,text,true,,3300,119,59,59,https://www.saucedemo.com/,516,0,275
1728074316870,791,login request,200,OK,Login thread 1-7,text,true,,3966,391,57,57,https://www.saucedemo.com/,274,0,162
1728074316870,274,login request-0,301,Moved Permanently,Login thread 1-7,text,true,,666,272,57,57,https://saucedemo.com/,274,0,162
1728074317144,517,login request-1,200,OK,Login thread 1-7,text,true,,3300,119,57,57,https://www.saucedemo.com/,517,0,276
1728074316855,806,login request,200,OK,Login thread 1-6,text,true,,3966,401,57,57,https://www.saucedemo.com/,300,0,188
1728074316855,300,login request-0,301,Moved Permanently,Login thread 1-6,text,true,,666,282,57,57,https://saucedemo.com/,300,0,188
1728074317155,506,login request-1,200,OK,Login thread 1-6,text,true,,3300,119,57,57,https://www.saucedemo.com/,506,0,268
1728074316961,701,login request,200,OK,Login thread 1-13,text,true,,3966,387,55,55,https://www.saucedemo.com/,254,0,146
1728074316961,254,login request-0,301,Moved Permanently,Login thread 1-13,text,true,,666,268,55,55,https://saucedemo.com/,254,0,146
1728074317216,446,login request-1,200,OK,Login thread 1-13,text,true,,3300,119,55,55,https://www.saucedemo.com/,446,0,209
1728074316900,764,login request,200,OK,Login thread 1-9,text,true,,3966,383,55,55,https://www.saucedemo.com/,260,0,151
1728074316900,260,login request-0,301,Moved Permanently,Login thread 1-9,text,true,,666,264,55,55,https://saucedemo.com/,260,0,151
1728074317161,503,login request-1,200,OK,Login thread 1-9,text,true,,3300,119,55,55,https://www.saucedemo.com/,503,0,265
1728074316841,824,login request,200,OK,Login thread 1-5,text,true,,3966,393,54,54,https://www.saucedemo.com/,308,0,191
1728074316841,308,login request-0,301,Moved Permanently,Login thread 1-5,text,true,,666,274,54,54,https://saucedemo.com/,308,0,191
