timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1728130142134,337,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-1,text,true,,893,272,4,4,https://reqres.in/api/users,337,0,190
1728130142234,276,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-2,text,true,,893,272,3,3,https://reqres.in/api/users,276,0,124
1728130142333,294,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-3,text,true,,893,282,3,3,https://reqres.in/api/users,293,0,141
1728130142433,264,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-4,text,true,,893,268,3,3,https://reqres.in/api/users,264,0,139
1728130142534,246,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-5,text,true,,893,276,3,3,https://reqres.in/api/users,246,0,121
1728130142635,285,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-6,text,true,,893,284,3,3,https://reqres.in/api/users,285,0,138
1728130142733,250,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-7,text,true,,893,284,3,3,https://reqres.in/api/users,250,0,123
1728130142833,259,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-8,text,true,,893,284,3,3,https://reqres.in/api/users,259,0,134
1728130142933,272,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-9,text,true,,893,286,3,3,https://reqres.in/api/users,272,0,134
1728130143034,249,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-10,text,true,,893,272,3,3,https://reqres.in/api/users,249,0,126
1728130143134,276,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-11,text,true,,893,284,3,3,https://reqres.in/api/users,276,0,138
1728130143232,273,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-12,text,true,,897,278,3,3,https://reqres.in/api/users,273,0,139
1728130143333,273,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-13,text,true,,897,278,3,3,https://reqres.in/api/users,273,0,139
1728130143432,271,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-14,text,true,,897,278,3,3,https://reqres.in/api/users,271,0,136
1728130143533,265,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-15,text,true,,897,274,3,3,https://reqres.in/api/users,265,0,140
1728130143633,284,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-16,text,true,,897,284,3,3,https://reqres.in/api/users,284,0,142
1728130143733,242,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-17,text,true,,897,280,3,3,https://reqres.in/api/users,242,0,120
1728130143832,264,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-18,text,true,,897,286,3,3,https://reqres.in/api/users,264,0,137
1728130143932,270,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-19,text,true,,897,284,3,3,https://reqres.in/api/users,270,0,137
1728130144033,248,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-20,text,true,,897,284,3,3,https://reqres.in/api/users,248,0,122
1728130144133,264,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-21,text,true,,897,270,3,3,https://reqres.in/api/users,264,0,138
1728130144232,266,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-22,text,true,,897,284,3,3,https://reqres.in/api/users,266,0,138
1728130144333,274,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-23,text,true,,897,268,3,3,https://reqres.in/api/users,274,0,139
1728130144433,271,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-24,text,true,,897,274,3,3,https://reqres.in/api/users,271,0,140
1728130144534,242,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-25,text,true,,897,278,3,3,https://reqres.in/api/users,242,0,121
1728130144634,245,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-26,text,true,,897,286,3,3,https://reqres.in/api/users,245,0,122
1728130144732,239,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-27,text,true,,897,282,3,3,https://reqres.in/api/users,239,0,120
1728130144833,267,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-28,text,true,,897,282,3,3,https://reqres.in/api/users,267,0,136
1728130144933,273,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-29,text,true,,897,288,3,3,https://reqres.in/api/users,272,0,140
1728130145033,279,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-30,text,true,,897,268,3,3,https://reqres.in/api/users,279,0,139
1728130145133,244,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-31,text,true,,897,280,3,3,https://reqres.in/api/users,244,0,121
1728130145233,243,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-32,text,true,,893,286,3,3,https://reqres.in/api/users,243,0,121
1728130145334,274,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-33,text,true,,892,282,3,3,https://reqres.in/api/users,274,0,134
1728130145434,267,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-34,text,true,,893,286,3,3,https://reqres.in/api/users,267,0,137
1728130145534,295,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-35,text,true,,893,268,3,3,https://reqres.in/api/users,295,0,134
1728130145632,250,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-36,text,true,,893,268,3,3,https://reqres.in/api/users,250,0,121
1728130145733,264,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-37,text,true,,893,278,3,3,https://reqres.in/api/users,264,0,135
1728130145833,260,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-38,text,true,,893,284,3,3,https://reqres.in/api/users,260,0,136
1728130145934,270,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-39,text,true,,893,280,3,3,https://reqres.in/api/users,270,0,140
1728130146034,277,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-40,text,true,,892,288,3,3,https://reqres.in/api/users,277,0,136
1728130146133,245,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-41,text,true,,893,280,3,3,https://reqres.in/api/users,245,0,121
1728130146240,273,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-42,text,true,,901,286,3,3,https://reqres.in/api/users,273,0,136
1728130146333,263,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-43,text,true,,901,288,3,3,https://reqres.in/api/users,263,0,138
1728130146434,247,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-44,text,true,,901,268,3,3,https://reqres.in/api/users,247,0,120
1728130146533,269,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-45,text,true,,901,284,3,3,https://reqres.in/api/users,269,0,140
1728130146634,239,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-46,text,true,,901,278,3,3,https://reqres.in/api/users,239,0,121
1728130146732,270,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-47,text,true,,901,276,3,3,https://reqres.in/api/users,270,0,137
1728130146834,243,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-48,text,true,,901,278,3,3,https://reqres.in/api/users,243,0,121
1728130146932,265,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-49,text,true,,901,286,3,3,https://reqres.in/api/users,265,0,137
1728130147034,264,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-50,text,true,,901,288,3,3,https://reqres.in/api/users,264,0,139
1728130147134,264,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-51,text,true,,899,278,3,3,https://reqres.in/api/users,264,0,135
1728130147233,281,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-52,text,true,,897,284,3,3,https://reqres.in/api/users,281,0,144
1728130147333,271,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-53,text,true,,897,274,3,3,https://reqres.in/api/users,271,0,139
1728130147436,252,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-54,text,true,,897,286,3,3,https://reqres.in/api/users,252,0,125
1728130147540,266,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-55,text,true,,897,286,3,3,https://reqres.in/api/users,266,0,135
1728130147639,242,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-56,text,true,,897,278,3,3,https://reqres.in/api/users,242,0,124
1728130147736,261,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-57,text,true,,897,280,3,3,https://reqres.in/api/users,261,0,137
1728130147838,261,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-58,text,true,,897,282,3,3,https://reqres.in/api/users,261,0,134
1728130147938,265,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-59,text,true,,897,274,3,3,https://reqres.in/api/users,265,0,139
1728130148036,287,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-60,text,true,,897,274,3,3,https://reqres.in/api/users,287,0,136
1728130148137,242,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-61,text,true,,897,268,3,3,https://reqres.in/api/users,242,0,123
1728130148238,248,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-62,text,true,,893,270,3,3,https://reqres.in/api/users,248,0,123
1728130148338,241,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-63,text,true,,893,270,3,3,https://reqres.in/api/users,241,0,122
1728130148437,263,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-64,text,true,,893,282,3,3,https://reqres.in/api/users,263,0,139
1728130148537,277,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-65,text,true,,893,272,3,3,https://reqres.in/api/users,277,0,139
1728130148639,246,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-66,text,true,,892,276,3,3,https://reqres.in/api/users,246,0,122
1728130148738,266,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-67,text,true,,893,282,3,3,https://reqres.in/api/users,266,0,137
1728130148839,246,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-68,text,true,,893,282,3,3,https://reqres.in/api/users,246,0,122
1728130148938,261,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-69,text,true,,892,282,3,3,https://reqres.in/api/users,261,0,134
1728130149039,273,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-70,text,true,,893,278,3,3,https://reqres.in/api/users,273,0,135
1728130149137,280,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-71,text,true,,893,278,3,3,https://reqres.in/api/users,280,0,153
1728130149237,268,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-72,text,true,,893,278,3,3,https://reqres.in/api/users,268,0,139
1728130149337,264,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-73,text,true,,893,286,3,3,https://reqres.in/api/users,264,0,136
1728130149436,264,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-74,text,true,,893,282,3,3,https://reqres.in/api/users,264,0,135
1728130149539,242,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-75,text,true,,893,280,3,3,https://reqres.in/api/users,242,0,124
1728130149637,243,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-76,text,true,,892,286,3,3,https://reqres.in/api/users,243,0,122
1728130149742,259,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-77,text,true,,891,284,3,3,https://reqres.in/api/users,259,0,138
1728130149837,269,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-78,text,true,,893,270,3,3,https://reqres.in/api/users,269,0,136
1728130149936,245,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-79,text,true,,893,276,3,3,https://reqres.in/api/users,245,0,123
1728130150036,240,Create User Request with JSON Body,201,Created,PT-007 Thread Group 1-80,text,true,,893,286,3,3,https://reqres.in/api/users,240,0,120
